name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m376,cpu,utilization,,,,,,,,,,,,,,
m165,cpu,utilization,,,,,,,,,,,,,,
m194,cpu,utilization,,,,,,,,,,,,,,
m394,cpu,utilization,,,,,,,,,,,,,,
m415,cpu,utilization,,,,,,,,,,,,,,
m399,cpu,utilization,,,,,,,,,,,,,,
m223,cpu,utilization,,,,,,,,,,,,,,
m129,cpu,utilization,,,,,,,,,,,,,,
m155,cpu,utilization,,,,,,,,,,,,,,
m140,cpu,utilization,,,,,,,,,,,,,,
m127,cpu,utilization,,,,,,,,,,,,,,
m243,cpu,utilization,,,,,,,,,,,,,,
m100,cpu,utilization,,,,,,,,,,,,,,
m1,cpu,utilization,,,,,,,,,,,,,,
m61,cpu,utilization,,,,,,,,,,,,,,
m237,cpu,utilization,,,,,,,,,,,,,,
