name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m350_gpu0,gpu,utilization,,,,,,,,,,,,,,
m350_gpu1,gpu,utilization,,,,,,,,,,,,,,
m350_gpu2,gpu,utilization,,,,,,,,,,,,,,
m350_gpu3,gpu,utilization,,,,,,,,,,,,,,
m350_gpu4,gpu,utilization,,,,,,,,,,,,,,
m350_gpu5,gpu,utilization,,,,,,,,,,,,,,
m350_gpu6,gpu,utilization,,,,,,,,,,,,,,
m350_gpu7,gpu,utilization,,,,,,,,,,,,,,
m223_gpu0,gpu,utilization,,,,,,,,,,,,,,
m223_gpu1,gpu,utilization,,,,,,,,,,,,,,
m223_gpu2,gpu,utilization,,,,,,,,,,,,,,
m223_gpu3,gpu,utilization,,,,,,,,,,,,,,
m223_gpu4,gpu,utilization,,,,,,,,,,,,,,
m223_gpu5,gpu,utilization,,,,,,,,,,,,,,
m223_gpu6,gpu,utilization,,,,,,,,,,,,,,
m223_gpu7,gpu,utilization,,,,,,,,,,,,,,
m129_gpu0,gpu,utilization,,,,,,,,,,,,,,
m129_gpu1,gpu,utilization,,,,,,,,,,,,,,
m129_gpu2,gpu,utilization,,,,,,,,,,,,,,
m129_gpu3,gpu,utilization,,,,,,,,,,,,,,
m129_gpu4,gpu,utilization,,,,,,,,,,,,,,
m129_gpu5,gpu,utilization,,,,,,,,,,,,,,
m129_gpu6,gpu,utilization,,,,,,,,,,,,,,
m129_gpu7,gpu,utilization,,,,,,,,,,,,,,
m147_gpu0,gpu,utilization,,,,,,,,,,,,,,
m147_gpu1,gpu,utilization,,,,,,,,,,,,,,
m147_gpu2,gpu,utilization,,,,,,,,,,,,,,
m147_gpu3,gpu,utilization,,,,,,,,,,,,,,
m147_gpu4,gpu,utilization,,,,,,,,,,,,,,
m147_gpu5,gpu,utilization,,,,,,,,,,,,,,
m147_gpu6,gpu,utilization,,,,,,,,,,,,,,
m147_gpu7,gpu,utilization,,,,,,,,,,,,,,
m155_gpu0,gpu,utilization,,,,,,,,,,,,,,
m155_gpu1,gpu,utilization,,,,,,,,,,,,,,
m155_gpu2,gpu,utilization,,,,,,,,,,,,,,
m155_gpu3,gpu,utilization,,,,,,,,,,,,,,
m155_gpu4,gpu,utilization,,,,,,,,,,,,,,
m155_gpu5,gpu,utilization,,,,,,,,,,,,,,
m155_gpu6,gpu,utilization,,,,,,,,,,,,,,
m155_gpu7,gpu,utilization,,,,,,,,,,,,,,
m187_gpu0,gpu,utilization,,,,,,,,,,,,,,
m187_gpu1,gpu,utilization,,,,,,,,,,,,,,
m187_gpu2,gpu,utilization,,,,,,,,,,,,,,
m187_gpu3,gpu,utilization,,,,,,,,,,,,,,
m187_gpu4,gpu,utilization,,,,,,,,,,,,,,
m187_gpu5,gpu,utilization,,,,,,,,,,,,,,
m187_gpu6,gpu,utilization,,,,,,,,,,,,,,
m187_gpu7,gpu,utilization,,,,,,,,,,,,,,
m393_gpu0,gpu,utilization,,,,,,,,,,,,,,
m393_gpu1,gpu,utilization,,,,,,,,,,,,,,
m393_gpu2,gpu,utilization,,,,,,,,,,,,,,
m393_gpu3,gpu,utilization,,,,,,,,,,,,,,
m393_gpu4,gpu,utilization,,,,,,,,,,,,,,
m393_gpu5,gpu,utilization,,,,,,,,,,,,,,
m393_gpu6,gpu,utilization,,,,,,,,,,,,,,
m393_gpu7,gpu,utilization,,,,,,,,,,,,,,
m58_gpu0,gpu,utilization,,,,,,,,,,,,,,
m58_gpu1,gpu,utilization,,,,,,,,,,,,,,
m58_gpu2,gpu,utilization,,,,,,,,,,,,,,
m58_gpu3,gpu,utilization,,,,,,,,,,,,,,
m58_gpu4,gpu,utilization,,,,,,,,,,,,,,
m58_gpu5,gpu,utilization,,,,,,,,,,,,,,
m58_gpu6,gpu,utilization,,,,,,,,,,,,,,
m58_gpu7,gpu,utilization,,,,,,,,,,,,,,
m55_gpu0,gpu,utilization,,,,,,,,,,,,,,
m55_gpu1,gpu,utilization,,,,,,,,,,,,,,
m55_gpu2,gpu,utilization,,,,,,,,,,,,,,
m55_gpu3,gpu,utilization,,,,,,,,,,,,,,
m55_gpu4,gpu,utilization,,,,,,,,,,,,,,
m55_gpu5,gpu,utilization,,,,,,,,,,,,,,
m55_gpu6,gpu,utilization,,,,,,,,,,,,,,
m55_gpu7,gpu,utilization,,,,,,,,,,,,,,
m242_gpu0,gpu,utilization,,,,,,,,,,,,,,
m242_gpu1,gpu,utilization,,,,,,,,,,,,,,
m242_gpu2,gpu,utilization,,,,,,,,,,,,,,
m242_gpu3,gpu,utilization,,,,,,,,,,,,,,
m242_gpu4,gpu,utilization,,,,,,,,,,,,,,
m242_gpu5,gpu,utilization,,,,,,,,,,,,,,
m242_gpu6,gpu,utilization,,,,,,,,,,,,,,
m242_gpu7,gpu,utilization,,,,,,,,,,,,,,
m415_gpu0,gpu,utilization,,,,,,,,,,,,,,
m415_gpu1,gpu,utilization,,,,,,,,,,,,,,
m415_gpu2,gpu,utilization,,,,,,,,,,,,,,
m415_gpu3,gpu,utilization,,,,,,,,,,,,,,
m415_gpu4,gpu,utilization,,,,,,,,,,,,,,
m415_gpu5,gpu,utilization,,,,,,,,,,,,,,
m415_gpu6,gpu,utilization,,,,,,,,,,,,,,
m415_gpu7,gpu,utilization,,,,,,,,,,,,,,
m110_gpu0,gpu,utilization,,,,,,,,,,,,,,
m110_gpu1,gpu,utilization,,,,,,,,,,,,,,
m110_gpu2,gpu,utilization,,,,,,,,,,,,,,
m110_gpu3,gpu,utilization,,,,,,,,,,,,,,
m110_gpu4,gpu,utilization,,,,,,,,,,,,,,
m110_gpu5,gpu,utilization,,,,,,,,,,,,,,
m110_gpu6,gpu,utilization,,,,,,,,,,,,,,
m110_gpu7,gpu,utilization,,,,,,,,,,,,,,
m376_gpu0,gpu,utilization,,,,,,,,,,,,,,
m376_gpu1,gpu,utilization,,,,,,,,,,,,,,
m376_gpu2,gpu,utilization,,,,,,,,,,,,,,
m376_gpu3,gpu,utilization,,,,,,,,,,,,,,
m376_gpu4,gpu,utilization,,,,,,,,,,,,,,
m376_gpu5,gpu,utilization,,,,,,,,,,,,,,
m376_gpu6,gpu,utilization,,,,,,,,,,,,,,
m376_gpu7,gpu,utilization,,,,,,,,,,,,,,
m314_gpu0,gpu,utilization,,,,,,,,,,,,,,
m314_gpu1,gpu,utilization,,,,,,,,,,,,,,
m314_gpu2,gpu,utilization,,,,,,,,,,,,,,
m314_gpu3,gpu,utilization,,,,,,,,,,,,,,
m314_gpu4,gpu,utilization,,,,,,,,,,,,,,
m314_gpu5,gpu,utilization,,,,,,,,,,,,,,
m314_gpu6,gpu,utilization,,,,,,,,,,,,,,
m314_gpu7,gpu,utilization,,,,,,,,,,,,,,
m7_gpu0,gpu,utilization,,,,,,,,,,,,,,
m7_gpu1,gpu,utilization,,,,,,,,,,,,,,
m7_gpu2,gpu,utilization,,,,,,,,,,,,,,
m7_gpu3,gpu,utilization,,,,,,,,,,,,,,
m7_gpu4,gpu,utilization,,,,,,,,,,,,,,
m7_gpu5,gpu,utilization,,,,,,,,,,,,,,
m7_gpu6,gpu,utilization,,,,,,,,,,,,,,
m7_gpu7,gpu,utilization,,,,,,,,,,,,,,
m252_gpu0,gpu,utilization,,,,,,,,,,,,,,
m252_gpu1,gpu,utilization,,,,,,,,,,,,,,
m252_gpu2,gpu,utilization,,,,,,,,,,,,,,
m252_gpu3,gpu,utilization,,,,,,,,,,,,,,
m252_gpu4,gpu,utilization,,,,,,,,,,,,,,
m252_gpu5,gpu,utilization,,,,,,,,,,,,,,
m252_gpu6,gpu,utilization,,,,,,,,,,,,,,
m252_gpu7,gpu,utilization,,,,,,,,,,,,,,
