name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m376,cpu,memory,,,,,,,,,,,,,,
m165,cpu,memory,,,,,,,,,,,,,,
m194,cpu,memory,,,,,,,,,,,,,,
m394,cpu,memory,,,,,,,,,,,,,,
m415,cpu,memory,,,,,,,,,,,,,,
m399,cpu,memory,,,,,,,,,,,,,,
m223,cpu,memory,,,,,,,,,,,,,,
m129,cpu,memory,,,,,,,,,,,,,,
m155,cpu,memory,,,,,,,,,,,,,,
m140,cpu,memory,,,,,,,,,,,,,,
m127,cpu,memory,,,,,,,,,,,,,,
m243,cpu,memory,,,,,,,,,,,,,,
m100,cpu,memory,,,,,,,,,,,,,,
m1,cpu,memory,,,,,,,,,,,,,,
m61,cpu,memory,,,,,,,,,,,,,,
m237,cpu,memory,,,,,,,,,,,,,,
