,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
num_row,2793,1484,1075,234,1851,714,215,13,1058,426,559,288,215,13,234
num_col,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036
null_vals,45220,0,30940,14280,32606,8092,2618,1904,0,0,18326,8092,2618,1904,14280
null_vals_col_max,190,0,130,60,137,34,11,8,0,0,77,34,11,8,60
null_vals_col_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_col_std,61.046272296103034,0.0,41.768502097333645,19.277770198769378,44.01757528719007,10.924069779302647,3.5342578697743865,2.570369359835917,0.0,0.0,24.739805088420702,10.924069779302647,3.5342578697743865,2.570369359835917,19.277770198769378
null_vals_col_mean,22.210216110019648,0.0,15.196463654223969,7.013752455795678,16.0147347740668,3.974459724950884,1.2858546168958742,0.9351669941060904,0.0,0.0,9.00098231827112,3.974459724950884,1.2858546168958742,0.9351669941060904,7.013752455795678
null_vals_row_max,238,0,238,238,238,238,238,238,0,0,238,238,238,238,238
null_vals_row_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_row_std,59.9266369326609,0.0,77.59899081042992,103.922921925397,62.306912431236334,50.68420748999523,52.43845933383867,115.78801278770374,0.0,0.0,82.02269427859892,76.79638658351023,52.43845933383867,115.78801278770374,103.922921925397
null_vals_row_mean,16.19047619047619,0.0,28.781395348837208,61.02564102564103,17.61534305780659,11.333333333333334,12.17674418604651,146.46153846153845,0.0,0.0,32.78354203935599,28.09722222222222,12.17674418604651,146.46153846153845,61.02564102564103
num_col_with_nulls,1798,2036,1798,1798,1798,1798,1798,1798,2036,2036,1798,1798,1798,1798,1798
num_row_with_nulls,2603,1484,945,174,1714,680,204,5,1058,426,482,254,204,5,174
zero_vals,5521546,2956021,2111487,454038,3651389,1419782,426226,24149,2103266,852755,1094085,567027,426226,24149,454038
zero_vals_col_max,2793,1484,1075,234,1851,714,215,13,1058,426,559,288,215,13,234
zero_vals_col_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zero_vals_col_std,192.18386176441865,102.78529718079264,81.68608512408161,24.633382070313576,141.6913924476368,45.38194251951516,15.998556461363197,2.8451923704295567,81.49824630734578,28.01504504270163,48.474926723002326,21.389352963354984,15.998556461363197,2.8451923704295567,24.633382070313576
zero_vals_col_mean,2711.957760314342,1451.8767190569745,1037.0761296660119,223.0049115913556,1793.4130648330058,697.3388998035364,209.34479371316306,11.861001964636543,1033.0383104125738,418.8384086444008,537.3698428290767,278.50049115913555,209.34479371316306,11.861001964636543,223.0049115913556
zero_vals_row_max,2023,2023,2023,2023,2023,2023,2015,1997,2023,2023,2023,2023,2015,1997,2023
zero_vals_row_min,1775,1892,1775,1775,1775,1775,1775,1775,1892,1943,1775,1775,1775,1775,1775
zero_vals_row_std,56.83714100669049,20.258792058946213,70.91827245562922,96.62868396135055,58.21130329559069,49.795104426956726,49.03302801855571,104.6352922235047,20.47993704855878,15.877976091265175,73.476845486771,71.6057388477872,49.03302801855571,104.6352922235047,96.62868396135055
zero_vals_row_mean,1976.9230218403152,1991.927897574124,1964.173953488372,1940.3333333333333,1972.6574824419233,1988.4901960784314,1982.446511627907,1857.6153846153845,1987.9640831758034,2001.7723004694835,1957.2182468694098,1968.84375,1982.446511627907,1857.6153846153845,1940.3333333333333
num_col_with_zeros,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
num_row_with_zeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurtosis_max,2791.0003581661927,1482.0006743088352,1073.0009310986995,232.00429184549418,1849.0005405405461,712.001402524545,213.0046728971966,11.083333333333343,1056.0009460737967,424.00235294117755,557.0017921146962,286.00348432055796,213.0046728971966,11.083333333333343,232.00429184549418
kurtosis_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kurtosis_std,870.2959536967996,425.17376267298584,343.7089242351998,80.57770804408855,563.8904368233838,217.46754248273373,57.49434775462556,1.965499811176934,301.94688390794977,110.96082604866803,163.9345374662431,86.85141663688876,57.49434775462556,1.965499811176934,80.57770804408855
kurtosis_mean,549.1984583630532,229.86550329310322,219.55527105359695,45.02472603240427,325.97019919275715,113.28219677728437,27.235377293353537,0.41185265181582104,152.42161992871226,51.176025598063205,94.75762332437697,45.66890138021238,27.235377293353537,0.41185265181582104,45.02472603240427
skewness_max,52.82045397540052,38.48377157074349,32.74142530646566,15.198825344266028,42.98837680746942,26.66460955132513,14.560380245625533,3.175426480542947,32.48077810142408,20.56702100308179,23.579690246369534,16.88204621248766,14.560380245625533,3.175426480542947,15.198825344266028
skewness_min,-48.071691215487625,-35.950430381799386,-16.36542115553242,-15.198825344265726,-16.977039632774794,-24.64648736342651,-0.6997196685870788,-3.17542648054294,-20.707977728730114,-19.409979634468773,-0.22839210520230666,-16.882046212487417,-0.6997196685870788,-3.17542648054294,-15.198825344265726
skewness_std,17.38034218938595,12.184129210388543,11.12025535980764,5.630991930177318,14.107123412416412,8.767584984106005,4.461035049845674,0.5858827377299175,10.247419301719205,6.157149273654988,7.701334552667408,5.628735406050198,4.461035049845674,0.5858827377299175,5.630991930177318
skewness_mean,15.192002923735444,8.668556091412817,9.440613261139005,3.505559601771807,10.817074251861495,5.77904708650684,2.5344113064449605,0.09283548856017733,6.542922144648745,3.4486539370408202,5.679186985036482,3.5366784034217478,2.5344113064449605,0.09283548856017733,3.505559601771807
std_col_max,0.4966452312501763,0.49927294368297775,0.4898979485566356,0.4988298089713142,0.49039866710322166,0.49834759006176105,0.471949800705705,0.48650425541051995,0.49999642652944537,0.4919955398052469,0.49941642397831093,0.4990224819584785,0.471949800705705,0.48650425541051995,0.4988298089713142
std_col_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_col_std,0.07332580694491969,0.07952002111122622,0.06862133356679642,0.07402226006473435,0.07822714774636812,0.07250138885402106,0.07301609785934093,0.07228866015155057,0.08305742687893942,0.07662688543703976,0.0743650958593694,0.07223930349134731,0.07301609785934093,0.07228866015155057,0.07402226006473435
std_col_mean,0.0492721804346202,0.04775804950997643,0.04866921494369581,0.03924356716109706,0.04574780289860032,0.043185324755224366,0.03989003463031777,0.01672242898290353,0.044845803503437295,0.03995011607502149,0.046693264089472955,0.04340151728359939,0.03989003463031777,0.01672242898290353,0.03924356716109706
mean_col_max,0.9749389723723717,0.9742217820533814,0.8694475518165824,0.9957264957264957,0.7723180623405198,0.9973051403067573,0.6651162790697674,0.9230769230769231,0.7718794893136248,0.9961217928400303,0.566535690663767,0.9965277777777778,0.6651162790697674,0.9230769230769231,0.9957264957264957
mean_col_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_col_std,0.0621369345388614,0.06209532878431629,0.05367910197078647,0.05551210308227501,0.053874387134180655,0.06485386240505746,0.03669603116523718,0.08486383797230286,0.0566519246056335,0.06406835022715562,0.0456216368096793,0.06402902968940057,0.03669603116523718,0.08486383797230286,0.05551210308227501
mean_col_mean,0.014087834578228124,0.014854700318486975,0.013110828833308084,0.011880222927594363,0.013550690464264409,0.013267010586247017,0.010537300586374563,0.013425058943920511,0.014941549981993102,0.013203707696188526,0.012672765403950959,0.013653821304219054,0.010537300586374563,0.013425058943920511,0.011880222927594363
median_col_max,0.9761388338093636,1.0,0.8720933207132077,1.0,0.773196343925064,1.0,1.0,1.0,1.0,1.0,0.5649715056336189,1.0,1.0,1.0,1.0
median_col_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median_col_std,0.05115710748647759,0.05648108576749222,0.04403302376190151,0.03755605931217909,0.0341199029057989,0.06454901006690202,0.03576181880982019,0.10496626006360318,0.039796414566757754,0.061219644971036706,0.023664753946501495,0.05679942843441914,0.03576181880982019,0.10496626006360318,0.03755605931217909
median_col_mean,0.003234621349080009,0.0035991295021478684,0.0028210649961812415,0.0016048480905029422,0.001737517498989711,0.004645210161268469,0.0017734469939166507,0.011142061281337047,0.002357709791391267,0.004228642711007019,0.0010684494162994322,0.0035934549835782755,0.0017734469939166507,0.011142061281337047,0.0016048480905029422
