,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
num_row,3481,1776,1218,487,,,,,,,,,,,
num_col,1221,1221,1221,1221,,,,,,,,,,,
null_vals,38252,0,20294,17958,,,,,,,,,,,
null_vals_col_max,262,0,139,123,,,,,,,,,,,
null_vals_col_min,0,0,0,0,,,,,,,,,,,
null_vals_col_std,85.00927012054971,0.0,45.100337964719124,39.908932155830584,,,,,,,,,,,
null_vals_col_mean,31.32841932841933,0.0,16.62080262080262,14.707616707616708,,,,,,,,,,,
null_vals_row_max,146,0,146,146,,,,,,,,,,,
null_vals_row_min,0,0,0,0,,,,,,,,,,,
null_vals_row_std,38.517666317115946,0.0,46.42198318769709,63.434736779409185,,,,,,,,,,,
null_vals_row_mean,10.98879632289572,0.0,16.661740558292284,36.874743326488705,,,,,,,,,,,
num_col_with_nulls,1075,1221,1075,1075,,,,,,,,,,,
num_row_with_nulls,3219,1776,1079,364,,,,,,,,,,,
zero_vals,4076423,2095054,1418266,563103,,,,,,,,,,,
zero_vals_col_max,3481,1776,1218,487,,,,,,,,,,,
zero_vals_col_min,0,0,0,0,,,,,,,,,,,
zero_vals_col_std,288.0460573110278,158.28575138675467,105.08825004916265,52.538302679617146,,,,,,,,,,,
zero_vals_col_mean,3338.5937755937757,1715.8509418509418,1161.5610155610157,461.1818181818182,,,,,,,,,,,
zero_vals_row_max,1219,1219,1209,1209,,,,,,,,,,,
zero_vals_row_min,1040,1040,1053,1053,,,,,,,,,,,
zero_vals_row_std,37.276899313569444,22.502694396968703,41.098874433866136,57.12552844047623,,,,,,,,,,,
zero_vals_row_mean,1171.0494110887676,1179.6475225225224,1164.4220032840722,1156.2689938398357,,,,,,,,,,,
num_col_with_zeros,2,2,2,2,,,,,,,,,,,
num_row_with_zeros,0,0,0,0,,,,,,,,,,,
kurtosis_max,3479.0002873563285,1774.000563380285,1216.0008216926894,485.00205761317034,,,,,,,,,,,
kurtosis_min,0.0,0.0,0.0,0.0,,,,,,,,,,,
kurtosis_std,1123.8469389261236,570.5625399842573,387.59169622980113,182.15913000814984,,,,,,,,,,,
kurtosis_mean,935.0281809725534,391.63548151894406,328.2185317121117,134.96009745103783,,,,,,,,,,,
skewness_max,58.9745732274351,42.10701323272194,34.856861902541816,22.00004676388668,,,,,,,,,,,
skewness_min,-48.25300703016412,-36.366595680424375,-17.273725512785646,-3.713532297477648e-15,,,,,,,,,,,
skewness_std,18.144073832358586,14.078201893757694,10.859339625213833,8.579876589977635,,,,,,,,,,,
skewness_mean,23.915899782040515,13.416425033244156,14.08822478676264,7.6175266361695755,,,,,,,,,,,
std_col_max,0.49979774922400905,0.4919198519220781,0.49837892847537474,0.47399918943592667,,,,,,,,,,,
std_col_min,0.0,0.0,0.0,0.0,,,,,,,,,,,
std_col_std,0.0783263293522434,0.08689326288266049,0.07329859948662866,0.07370187527058152,,,,,,,,,,,
std_col_mean,0.06869858395176871,0.06574710662801253,0.07341417288032534,0.0507010130845425,,,,,,,,,,,
mean_col_max,0.9753388312805324,0.9850008630032582,0.8696763468849865,0.5000000000000001,,,,,,,,,,,
mean_col_min,0.0,0.0,0.0,0.0,,,,,,,,,,,
mean_col_std,0.06861677355709442,0.07470793173097035,0.062402804956605946,0.04412496289700092,,,,,,,,,,,
mean_col_mean,0.01935258004012213,0.021733002440468035,0.01931723365208995,0.01335325142796971,,,,,,,,,,,
median_col_max,0.9761388338093636,1.0,0.8720933207132077,0.5000000000000001,,,,,,,,,,,
median_col_min,0.0,0.0,0.0,0.0,,,,,,,,,,,
median_col_std,0.05351494707452087,0.06796296505328857,0.049117151550478244,0.023977065890908575,,,,,,,,,,,
median_col_mean,0.003549933729890171,0.00575794571758414,0.0032947994672439767,0.001363811708639295,,,,,,,,,,,
