,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
num_row,3481,1776,1218,487,,,,,,,,,,,
num_col,1210,836,831,866,,,,,,,,,,,
null_vals,1330578,0,19738,17466,,,,,,,,,,,
null_vals_col_max,3117,0,139,123,,,,,,,,,,,
null_vals_col_min,0,0,0,0,,,,,,,,,,,
null_vals_col_std,1086.0300502756677,0.0,52.3199788330986,45.540802019647366,,,,,,,,,,,
null_vals_col_mean,1099.6512396694216,0.0,23.75210589651023,20.168591224018474,,,,,,,,,,,
null_vals_row_max,521,0,142,142,,,,,,,,,,,
null_vals_row_min,344,0,0,0,,,,,,,,,,,
null_vals_row_std,36.606941263468386,0.0,45.150148031869776,61.69679878545277,,,,,,,,,,,
null_vals_row_mean,382.2401608733123,0.0,16.205254515599343,35.86447638603696,,,,,,,,,,,
num_col_with_nulls,405,836,689,724,,,,,,,,,,,
num_row_with_nulls,0,1776,1079,364,,,,,,,,,,,
zero_vals,2796316,1437309,962865,396142,,,,,,,,,,,
zero_vals_col_max,3481,1776,1218,487,,,,,,,,,,,
zero_vals_col_min,0,0,0,0,,,,,,,,,,,
zero_vals_col_std,1055.243745282995,162.96378954567177,112.91011158080045,57.18883327779616,,,,,,,,,,,
zero_vals_col_mean,2311.004958677686,1719.2691387559807,1158.6823104693142,457.4387990762125,,,,,,,,,,,
zero_vals_row_max,858,834,823,858,,,,,,,,,,,
zero_vals_row_min,675,704,675,710,,,,,,,,,,,
zero_vals_row_std,35.454192777644145,15.413552261691601,40.86331732445502,57.450337112237314,,,,,,,,,,,
zero_vals_row_mean,803.3082447572536,809.2956081081081,790.5295566502463,813.4332648870636,,,,,,,,,,,
num_col_with_zeros,2,2,2,2,,,,,,,,,,,
num_row_with_zeros,0,0,0,0,,,,,,,,,,,
kurtosis_max,3479.0002873563285,1774.0005633802832,1216.000821692688,485.00205761317034,,,,,,,,,,,
kurtosis_min,0.0,0.0,0.0,0.0,,,,,,,,,,,
kurtosis_std,702.5498271315384,514.8904283917399,310.9154209963221,172.4087673062547,,,,,,,,,,,
kurtosis_mean,361.27489153644035,275.1091944852219,185.95608891475223,115.05831215193535,,,,,,,,,,,
skewness_max,58.97457322742276,42.1070132327217,34.856861902541034,22.00004676388668,,,,,,,,,,,
skewness_min,-40.2527699422902,-30.345113491331137,-17.273725512785646,-3.713532297477648e-15,,,,,,,,,,,
skewness_std,14.707768906313303,13.181836673620765,9.980364890055291,8.288361537021364,,,,,,,,,,,
skewness_mean,11.381719290451896,9.514576235981949,8.800729445477197,6.581379475951838,,,,,,,,,,,
std_col_max,0.49979774922400905,0.49008098163236957,0.49837892847537474,0.47399918943592667,,,,,,,,,,,
std_col_min,0.0,0.0,0.0,0.0,,,,,,,,,,,
std_col_std,0.0778563751266019,0.07770451409903405,0.07076922042283311,0.06329206640251055,,,,,,,,,,,
std_col_mean,0.06349333354330032,0.04919668590581097,0.05477549672659689,0.040024168823028776,,,,,,,,,,,
mean_col_max,0.9751480443184491,0.9846511981708523,0.8696763468849865,0.5000000000000001,,,,,,,,,,,
mean_col_min,0.0,0.0,0.0,0.0,,,,,,,,,,,
mean_col_std,0.07400085241890525,0.06382177666822846,0.05601419110161566,0.034307438592076814,,,,,,,,,,,
mean_col_mean,0.020584783185992148,0.016694094007336825,0.014840990361844168,0.009311445748490995,,,,,,,,,,,
median_col_max,0.9761388338093636,1.0,0.8720933207132077,0.5000000000000001,,,,,,,,,,,
median_col_min,0.0,0.0,0.0,0.0,,,,,,,,,,,
median_col_std,0.06216755349672219,0.0590481108675014,0.044660666427031405,0.019332194870489455,,,,,,,,,,,
median_col_mean,0.005163921949556893,0.004724860927884751,0.0028777511391197557,0.0008903838543727743,,,,,,,,,,,
