,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
num_row,312049,299280,10597,2172,244384,65946,1691,28,236360,62920,5852,3026,1691,28,2172
num_col,199,160,199,98,98,98,88,98,98,98,98,98,88,98,98
null_vals,31533859,18555360,1087207,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_col_max,312021,236360,10569,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_col_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_col_std,118449.08313768827,98655.48823557663,3162.097163154632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
null_vals_col_mean,158461.60301507538,115971.0,5463.35175879397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
null_vals_row_max,111,62,111,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_row_min,101,62,101,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_row_std,0.7341426935575001,0.0,3.6621001312774877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
null_vals_row_mean,101.05419020730719,62.0,102.59573464187977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_col_with_nulls,20,36,20,98,98,98,88,98,98,98,98,98,88,98,98
num_row_with_nulls,0,0,0,2172,244384,65946,1691,28,236360,62920,5852,3026,1691,28,2172
zero_vals,29282205,28101396,976873,203936,22947017,6191072,141493,2623,22193812,5907584,549269,283488,141493,2623,203936
zero_vals_col_max,312049,299280,10597,2172,244384,65946,1691,28,236360,62920,5852,3026,1691,28,2172
zero_vals_col_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zero_vals_col_std,116799.52394466604,99166.79069589968,3065.060357781477,375.1938541006975,42647.97510201466,11484.743715174869,306.09356162113096,4.970938030823664,41287.720602314395,10972.997676303632,1005.0386554653469,520.7006181043903,306.09356162113096,4.970938030823664,375.1938541006975
zero_vals_col_mean,147146.75879396984,175633.725,4908.909547738694,2080.9795918367345,234153.23469387754,63174.204081632655,1607.875,26.76530612244898,226467.4693877551,60281.4693877551,5604.785714285715,2892.734693877551,1607.875,26.76530612244898,2080.9795918367345
zero_vals_row_max,95,95,95,95,95,95,85,94,95,95,95,95,85,94,95
zero_vals_row_min,83,93,83,93,93,93,83,93,93,93,93,93,83,93,93
zero_vals_row_std,0.8379309313515642,0.36639387433018533,3.743530041456616,0.42113760740561074,0.38410374229478733,0.3253156938799622,0.47867639441696974,0.4670248868079293,0.37919175180659953,0.31360854004444266,0.5352220182165646,0.46983432855919766,0.47867639441696974,0.4670248868079293,0.42113760740561074
zero_vals_row_mean,93.83848369967536,93.89667201283079,92.18391997735208,93.89318600368324,93.89737871546419,93.88093288448124,83.67415730337079,93.67857142857143,93.89834151294636,93.89040050858233,93.86004784688996,93.68407138136153,83.67415730337079,93.67857142857143,93.89318600368324
num_col_with_zeros,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
num_row_with_zeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurtosis_max,123049.50000812674,18703.000053464486,4715.000212044107,2170.000460617226,738.5722767424942,65944.00001516417,1689.000591715977,26.037037037037067,743.1948601200108,15728.000063576841,1461.0006839945313,3024.000330578512,1689.000591715977,26.037037037037067,2170.000460617226
