,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
num_row,4656,2722,1447,487,2985,1351,306,14,1758,964,740,387,306,14,487
num_col,926,819,926,701,701,674,611,566,701,674,701,674,611,566,701
null_vals,1157953,347224,392434,17466,33086,6532,3692,1136,0,0,15620,6532,3692,1136,17466
null_vals_col_max,4650,1758,1441,123,233,46,26,8,0,0,110,46,26,8,123
null_vals_col_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_col_std,1559.5295621010087,655.795114105472,439.9537686971678,49.43529949627548,93.64572994009907,18.7584920468291,10.981526938761528,3.468172228537668,0.0,0.0,44.210430443823604,18.7584920468291,10.981526938761528,3.468172228537668,49.43529949627548
null_vals_col_mean,1250.4892008639308,423.96092796092796,423.7948164146868,24.91583452211127,47.19828815977176,9.691394658753708,6.042553191489362,2.0070671378091873,0.0,0.0,22.282453637660485,9.691394658753708,6.042553191489362,2.0070671378091873,24.91583452211127
null_vals_row_max,502,145,502,142,142,142,142,142,0,0,142,142,142,142,142
null_vals_row_min,225,118,225,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_row_std,43.32225960337686,12.91289428630181,59.2617799479606,61.69679878545277,38.09308837073405,25.752367838207693,39.594294367236856,70.27177562136588,0.0,0.0,50.515335527419516,45.95507557984775,39.594294367236856,70.27177562136588,61.69679878545277
null_vals_row_mean,248.70124570446737,127.56208670095518,271.20525224602625,35.86447638603696,11.084087102177554,4.834937083641747,12.065359477124183,81.14285714285714,0.0,0.0,21.10810810810811,16.878552971576227,12.065359477124183,81.14285714285714,35.86447638603696
num_col_with_nulls,271,556,271,559,559,532,469,424,701,674,559,532,469,424,559
num_row_with_nulls,0,0,0,364,2752,1305,280,6,1758,964,630,341,280,6,364
zero_vals,3052361,1821969,914518,315874,1988323,880649,176821,6568,1187860,634109,484589,246540,176821,6568,315874
zero_vals_col_max,4656,2722,1447,487,2985,1351,306,14,1758,964,740,387,306,14,487
zero_vals_col_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zero_vals_col_std,1536.6829726691947,668.0744236197851,429.2503563459669,64.66191614973903,301.0947867538675,120.7619334432025,34.1546054188006,3.8144577631781273,176.56016140470996,88.40111088553898,86.84018865392332,39.52119279766735,34.1546054188006,3.8144577631781273,64.66191614973903
zero_vals_col_mean,3296.2861771058315,2224.6263736263736,987.6004319654428,450.60485021398,2836.4094151212553,1306.600890207715,289.3960720130933,11.604240282685513,1694.522111269615,940.8145400593472,691.2824536376605,365.78635014836794,289.3960720130933,11.604240282685513,450.60485021398
zero_vals_row_max,694,694,694,694,694,671,601,551,694,671,694,667,601,551,694
zero_vals_row_min,413,572,413,548,548,521,458,413,572,598,548,521,458,413,548
zero_vals_row_std,41.63743967267211,16.27817451202359,55.07656205690254,57.6353625143828,36.47220634538026,26.3932636333186,36.86584852856658,65.02950664655144,15.540749374889856,10.042867252438025,45.383893291235715,43.287329798666164,36.86584852856658,65.02950664655144,57.6353625143828
zero_vals_row_mean,655.5758161512027,669.3493754592212,632.0096751900484,648.6119096509241,666.1048576214405,651.8497409326425,577.8464052287582,469.14285714285717,675.6882821387941,657.7894190871369,654.85,637.0542635658915,577.8464052287582,469.14285714285717,648.6119096509241
num_col_with_zeros,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
num_row_with_zeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurtosis_max,4654.000214822773,2720.0003675119456,1445.0006915629338,485.00205761317034,2983.0003351206515,1349.0007407407438,304.0032786885248,12.07692307692308,1756.000569151968,962.0010384216018,738.0013531799735,385.0025906735754,304.0032786885248,12.07692307692308,485.00205761317034
kurtosis_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kurtosis_std,1137.1090852719262,675.114735531096,335.0158026480208,170.05906467650237,897.7324247384228,447.5001280832521,87.40221785957942,2.805260601879201,538.0066548223597,285.6208344770217,216.69689418472095,121.68617715529366,87.40221785957942,2.805260601879201,170.05906467650237
kurtosis_mean,634.692266642756,402.5626487949465,191.64810952050343,112.77548849719278,595.0412108425368,292.09580048296016,53.13197727730144,0.8401420182208514,352.29953282107357,178.0435706053829,145.78543217172242,79.03264818112929,53.13197727730144,0.8401420182208514,112.77548849719278
skewness_max,68.21290358007136,52.1440348219467,38.00000909951342,22.00004676388668,54.607694834351136,36.7151295890546,17.40698936314179,3.3282011773513753,41.89272692427853,31.000016748732527,27.147768843498724,19.595984044533274,17.40698936314179,3.3282011773513753,22.00004676388668
skewness_min,-46.402840824935694,-37.454707693808864,-18.731070757954566,-3.713532297477648e-15,-15.98250217091691,-25.427840259833605,-0.8358919639231269,-3.328201177351375,-18.92982835801897,-22.570708887830857,-0.27364957650002036,-14.137864256477227,-0.8358919639231269,-3.328201177351375,-3.713532297477648e-15
skewness_std,18.761212586317765,14.903563112587868,10.347951378541344,8.22531151985808,17.157737062506204,12.514426483905256,5.658652507057724,0.8236735939253161,13.713226105525704,10.214110581005826,8.605157880902492,6.700267466812352,5.658652507057724,0.8236735939253161,8.22531151985808
skewness_mean,15.996927954735686,12.758090678566555,8.764399199529796,6.494172315644501,16.622534991862384,11.20200382401101,4.393009400359355,0.20647085944828336,12.244285666020334,8.233120861931306,8.108457811779342,5.583370268192694,4.393009400359355,0.20647085944828336,6.494172315644501
std_col_max,0.49670062370796364,0.4999404765357341,0.49402669591039644,0.47399918943592667,0.48728070844846677,0.49990013801128474,0.4613286545103607,0.4948716593053935,0.4999948229246074,0.4993269949387076,0.49381862034837826,0.49911619235653026,0.4613286545103607,0.4948716593053935,0.47399918943592667
std_col_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_col_std,0.08783350732682949,0.0784480209416663,0.08590450193837648,0.071123139313269,0.07854564035181999,0.06767744906958215,0.0795303630020989,0.09454912481623409,0.08089954211529386,0.06799293077925636,0.07963348333521382,0.07496735422390048,0.0795303630020989,0.09454912481623409,0.071123139313269
std_col_mean,0.0602132742310329,0.05633660806040516,0.06690346883580785,0.04226980421373646,0.052492714950816984,0.04877045475018475,0.05664279880118626,0.03135293909883759,0.0560790187020193,0.046509749593374686,0.05839077379837976,0.056353622462392935,0.05664279880118626,0.03135293909883759,0.04226980421373646
