,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
num_row,312049,299280,10597,2172,244384,65946,1691,28,236360,62920,5852,3026,1691,28,2172
num_col,217,174,217,145,145,145,145,145,145,145,145,145,145,145,145
null_vals,22467528,8679120,762984,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_col_max,312021,236360,10569,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_col_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_col_std,130623.34052927764,86503.26544896055,3771.2823812047386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
null_vals_col_mean,103536.99539170507,49880.0,3516.0552995391704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
null_vals_row_max,72,29,72,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_row_min,72,29,72,0,0,0,0,0,0,0,0,0,0,0,0
null_vals_row_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
null_vals_row_mean,72.0,29.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_col_with_nulls,73,116,73,145,145,145,145,145,145,145,145,145,145,145,145
num_row_with_nulls,0,0,0,2172,244384,65946,1691,28,236360,62920,5852,3026,1691,28,2172
zero_vals,43842727,42047948,1489446,305333,34324784,9276137,237880,3926,33197320,8850628,822131,425509,237880,3926,305333
zero_vals_col_max,312049,299280,10597,2172,244384,65946,1691,28,236360,62920,5852,3026,1691,28,2172
zero_vals_col_min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zero_vals_col_std,131080.01558088788,91527.98486849507,3781.6339578428856,312.7011745136428,35901.246075105184,9551.35225210572,241.88965654881406,4.247648856551261,34781.893519555655,9127.29546223755,833.4830636028083,432.43895290605764,241.88965654881406,4.247648856551261,312.7011745136428
zero_vals_col_mean,202040.21658986175,241654.8735632184,6863.806451612903,2105.744827586207,236722.64827586207,63973.35862068966,1640.551724137931,27.075862068965517,228947.0344827586,61038.81379310345,5669.868965517241,2934.544827586207,1640.551724137931,27.075862068965517,2105.744827586207
zero_vals_row_max,142,142,142,141,142,142,142,141,142,142,142,142,142,141,141
zero_vals_row_min,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
zero_vals_row_std,0.5003008894567325,0.5002049212725794,0.49996307626274406,0.4940529198012527,0.4980223029496057,0.4736175829339036,0.47867639441696974,0.410325903324145,0.49779333111379165,0.47287440511046197,0.5018827829065874,0.48664166291316396,0.47867639441696974,0.410325903324145,0.4940529198012527
zero_vals_row_mean,140.49949527157594,140.49701951349905,140.553552892328,140.5768876611418,140.454301427262,140.6626178994935,140.67415730337078,140.21428571428572,140.45236080555085,140.66478067387158,140.48718386876283,140.61764705882354,140.67415730337078,140.21428571428572,140.5768876611418
num_col_with_zeros,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
num_row_with_zeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurtosis_max,156022.5000064093,59088.000016923594,10595.000094375233,2170.0004606172283,244382.00000409072,65944.00001516427,1689.000591715977,26.037037037037067,59088.00001692366,15728.000063576841,5850.000170910959,3024.000330578514,1689.000591715977,26.037037037037067,2170.0004606172283
kurtosis_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
